Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Yersinia pestis strain SCPM-O-B-5935 (I-1996) plasmid pMT, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,99286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045155.1?report=genbank&log$=nucltop&blast_rank=1&RID=V0K73NV9014"",""CP045155.1"")"
"Yersinia pestis strain 54008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,101744,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177973.1?report=genbank&log$=nucltop&blast_rank=2&RID=V0K73NV9014"",""CP177973.1"")"
"Yersinia pestis strain AKS2022HT87_A plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP155633.1?report=genbank&log$=nucltop&blast_rank=3&RID=V0K73NV9014"",""CP155633.1"")"
"Yersinia pestis strain 74008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,100%,0.0,98.96,100935,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177470.1?report=genbank&log$=nucltop&blast_rank=4&RID=V0K73NV9014"",""CP177470.1"")"
"Yersinia pestis strain 46507 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177557.1?report=genbank&log$=nucltop&blast_rank=5&RID=V0K73NV9014"",""CP177557.1"")"
"Yersinia pestis strain 6/69 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166967.1?report=genbank&log$=nucltop&blast_rank=6&RID=V0K73NV9014"",""CP166967.1"")"
"Yersinia pestis strain O010008 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,96035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177703.1?report=genbank&log$=nucltop&blast_rank=7&RID=V0K73NV9014"",""CP177703.1"")"
"Yersinia pestis 3770 plasmid pMT1, complete sequence",Yersinia pestis 3770,688,688,100%,0.0,98.96,140938,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006749.1?report=genbank&log$=nucltop&blast_rank=8&RID=V0K73NV9014"",""CP006749.1"")"
"Yersinia pestis strain 2 plasmid pFra, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,100909,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP151616.1?report=genbank&log$=nucltop&blast_rank=9&RID=V0K73NV9014"",""CP151616.1"")"
"Yersinia pestis strain 41011 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,102195,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177405.1?report=genbank&log$=nucltop&blast_rank=10&RID=V0K73NV9014"",""CP177405.1"")"
"Yersinia pestis strain 100963 plasmid pMT1, complete sequence",Yersinia pestis,688,688,99%,0.0,99.21,77488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177767.1?report=genbank&log$=nucltop&blast_rank=11&RID=V0K73NV9014"",""CP177767.1"")"
